Date Saved,25.11.2022 15:50:15
Title,I7-F8-T3500_40_3832K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],3832
⊿uv,-0.0094
Illuminance [lx],1300
Illuminance [fc],121
Target CCT [K],10000
LB Index [MK⁻¹],-161
LB Camera Filter,80B, 82C
LB Lighting Filter,L202 1/2 CTB, L202 1/2 CTB
CC Index,0.9G
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,93.1
CRI R1,91.4
CRI R2,95.4
CRI R3,94.7
CRI R4,90.3
CRI R5,92.2
CRI R6,93.9
CRI R7,96.4
CRI R8,90.4
CRI R9,77.2
CRI R10,93.0
CRI R11,87.7
CRI R12,90.8
CRI R13,91.9
CRI R14,96.1
CRI R15,88.4

